Molecule ChEMBL ID,Smiles,Standard Relation,Standard Value,Standard Units,pChEMBL Value,R_squared,Hill_slope,IC50_CI_lower_uM,IC50_CI_upper_uM,Max_Response_Pct,Comment,Molecular Weight,AlogP,#RO5 Violations,Target Name
CHEMBL5441465,CC(C)[C@@H](Nc1ncnc2[nH]c(C3CCS(=O)(=O)CC3)cc12)c1ccc2c(c1)OCCO2,'=',1186.0,nM,5.93,0.995,1.119,1.069,1.316,100.0,,456.57,3.83,0,Replicase polyprotein 1ab
CHEMBL5442086,CCn1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)C)ncnc3[nH]2)cn1,'=',652.0,nM,6.19,0.996,1.314,0.597,0.712,100.0,,418.5,4.42,0,Replicase polyprotein 1ab
CHEMBL5442094,COC(=O)c1c[nH]c(-c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)C)ncnc3[nH]2)c1,'=',2985.0,nM,5.53,0.983,1.011,2.439,3.653,100.0,,447.5,4.32,0,Replicase polyprotein 1ab
CHEMBL5442085,Cc1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)C)ncnc3[nH]2)n(C)n1,'=',1023.0,nM,5.99,0.98,1.019,0.822,1.273,100.0,,418.5,4.25,0,Replicase polyprotein 1ab
CHEMBL5441699,O=C(Nc1ccccc1)Nc1ccc(C(=O)NC2c3cccc(O)c3CC2C(=O)O)cc1,'=',731.0,nM,6.14,0.981,0.923,0.585,0.912,100.0,,431.45,3.76,0,Replicase polyprotein 1ab
CHEMBL5441736,Cc1cnn(C)c1NC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,'>',99500.0,nM,,0.865,0.656,,,100.0,Falls Outside The Dose Series,461.53,3.83,0,Replicase polyprotein 1ab
CHEMBL5441430,CNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,'=',78.0,nM,7.11,0.995,1.494,0.071,0.085,100.0,,427.53,2.85,0,Replicase polyprotein 1ab
CHEMBL5441595,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)N[C@H]3[C@@H]4CN(C)C[C@@H]43)cc12)c1ccc2c(c1)OCCO2,'=',2064.0,nM,5.68,0.992,1.384,1.804,2.362,100.0,,462.55,2.83,0,Replicase polyprotein 1ab
CHEMBL5442087,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)NC3CN(C)C3)cc12)c1ccc2c(c1)OCCO2,'=',3272.0,nM,5.49,0.993,1.443,2.881,3.716,100.0,,436.52,2.58,0,Replicase polyprotein 1ab
CHEMBL5441490,CC(C)[C@@H](Nc1ncnc2n[nH]cc12)c1ccc2c(c1)S(=O)(=O)CCC2,'=',939.0,nM,6.03,0.994,1.188,0.831,1.062,100.0,,371.47,2.88,0,Replicase polyprotein 1ab
CHEMBL5441413,CNC(=O)Cn1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)cn1,'=',35.0,nM,7.46,0.99,1.673,0.031,0.038,100.0,,507.62,3.1,1,Replicase polyprotein 1ab
CHEMBL5441627,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)N[C@H]3[C@@H]4COC[C@@H]43)cc12)c1ccc2c(c1)OCCO2,'=',543.0,nM,6.26,0.997,1.253,0.499,0.592,100.0,,449.51,2.91,0,Replicase polyprotein 1ab
CHEMBL5441977,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)NCCc3c[nH]nn3)cc12)c1ccc2c(c1)OCCO2,'=',947.0,nM,6.02,0.991,1.045,0.815,1.1,100.0,,462.51,2.63,0,Replicase polyprotein 1ab
CHEMBL5442070,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)NCc3ccn(C)n3)cc12)c1ccc2c(c1)OCCO2,'=',955.0,nM,6.02,0.992,1.21,0.832,1.096,100.0,,461.53,3.2,0,Replicase polyprotein 1ab
CHEMBL5441610,CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1cccc(S(C)(=O)=O)c1,'=',96417.0,nM,4.02,0.929,1.232,77.01,120.71,100.0,,344.44,3.17,0,Replicase polyprotein 1ab
CHEMBL5442080,CC(C)[C@@H](c1ccc2c(c1)S(=O)(=O)CCC2)n1c(=O)[nH]c2c(N)ccnc21,'>',99500.0,nM,,,,,,,Falls Outside The Dose Series,386.48,2.27,0,Replicase polyprotein 1ab
CHEMBL5441985,COc1ccc([C@@H](NC(=O)c2ncnc3[nH]ccc23)C(C)(C)c2nnn[nH]2)cc1,'=',3911.0,nM,5.41,0.982,1.064,3.194,4.79,100.0,,392.42,1.93,0,Replicase polyprotein 1ab
CHEMBL5441989,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)OCCO2,'=',238.0,nM,6.62,0.964,1.223,0.181,0.313,100.0,,429.48,3.81,0,Replicase polyprotein 1ab
